,0,1,2
0,year,sex,births
1,1880,boy,118405
2,1881,boy,108290
3,1882,boy,122034
4,1883,boy,112487
5,1884,boy,122745
6,1885,boy,115948
7,1886,boy,119046
8,1887,boy,109312
9,1888,boy,129914
10,1889,boy,119044
11,1890,boy,119704
12,1891,boy,109272
13,1892,boy,131457
14,1893,boy,121045
15,1894,boy,124902
16,1895,boy,126650
17,1896,boy,129082
18,1897,boy,121952
19,1898,boy,132116
20,1899,boy,115206
21,1900,boy,162245
22,1901,boy,115606
23,1902,boy,132753
24,1903,boy,129332
25,1904,boy,138510
26,1905,boy,143246
27,1906,boy,144074
28,1907,boy,158598
29,1908,boy,166366
30,1909,boy,176846
31,1910,boy,208499
32,1911,boy,241334
33,1912,boy,451415
34,1913,boy,536124
35,1914,boy,683291
36,1915,boy,881027
37,1916,boy,923293
38,1917,boy,959295
39,1918,boy,1049042
40,1919,boy,1015470
41,1920,boy,1100895
42,1921,boy,1137788
43,1922,boy,1125420
44,1923,boy,1132401
45,1924,boy,1168863
46,1925,boy,1151127
47,1926,boy,1145327
48,1927,boy,1161129
49,1928,boy,1140477
50,1929,boy,1106734
51,1930,boy,1128585
52,1931,boy,1068508
53,1932,boy,1073709
54,1933,boy,1019176
55,1934,boy,1061163
56,1935,boy,1068778
57,1936,boy,1063649
58,1937,boy,1092813
59,1938,boy,1135752
60,1939,boy,1132731
61,1940,boy,1185613
62,1941,boy,1254095
63,1942,boy,1407606
64,1943,boy,1453729
65,1944,boy,1389075
66,1945,boy,1371149
67,1946,boy,1648317
68,1947,boy,1855892
69,1948,boy,1779842
70,1949,boy,1797593
71,1950,boy,1818422
72,1951,boy,1905909
73,1952,boy,1973125
74,1953,boy,1998453
75,1954,boy,2067213
76,1955,boy,2087688
77,1956,boy,2143738
78,1957,boy,2186874
79,1958,boy,2152102
80,1959,boy,2165866
81,1960,boy,2165791
82,1961,boy,2154552
83,1962,boy,2101707
84,1963,boy,2064918
85,1964,boy,2026790
86,1965,boy,1895208
87,1966,boy,1817507
88,1967,boy,1779517
89,1968,boy,1775770
90,1969,boy,1829787
91,1970,boy,1904697
92,1971,boy,1817177
93,1972,boy,1673978
94,1973,boy,1613151
95,1974,boy,1629757
96,1975,boy,1621883
97,1976,boy,1632108
98,1977,boy,1708308
99,1978,boy,1707216
100,1979,boy,1789972
101,1980,boy,1852461
102,1981,boy,1860120
103,1982,boy,1884658
104,1983,boy,1861142
105,1984,boy,1874075
106,1985,boy,1922058
107,1986,boy,1919271
108,1987,boy,1948239
109,1988,boy,1999648
110,1989,boy,2094867
111,1990,boy,2149965
112,1991,boy,2118258
113,1992,boy,2097457
114,1993,boy,2063750
115,1994,boy,2036537
116,1995,boy,2009714
117,1996,boy,2002142
118,1997,boy,1996146
119,1998,boy,2025866
120,1999,boy,2036939
121,2000,boy,2085772
122,2001,boy,2065725
123,2002,boy,2063688
124,2003,boy,2097895
125,2004,boy,2109465
126,2005,boy,2122493
127,2006,boy,2186079
128,2007,boy,2207257
129,2008,boy,2169740
130,2009,boy,2095910
131,1880,girl,97606
132,1881,girl,98860
133,1882,girl,115698
134,1883,girl,120068
135,1884,girl,137588
136,1885,girl,141954
137,1886,girl,153743
138,1887,girl,155424
139,1888,girl,189455
140,1889,girl,189221
141,1890,girl,201664
142,1891,girl,196578
143,1892,girl,224926
144,1893,girl,225239
145,1894,girl,235975
146,1895,girl,247112
147,1896,girl,252001
148,1897,girl,248274
149,1898,girl,274153
150,1899,girl,247494
151,1900,girl,317868
152,1901,girl,254235
153,1902,girl,280338
154,1903,girl,278200
155,1904,girl,292443
156,1905,girl,309884
157,1906,girl,313417
158,1907,girl,337422
159,1908,girl,354477
160,1909,girl,368029
161,1910,girl,419406
162,1911,girl,441621
163,1912,girl,586448
164,1913,girl,654560
165,1914,girl,796268
166,1915,girl,1023759
167,1916,girl,1085588
168,1917,girl,1123557
169,1918,girl,1202293
170,1919,girl,1174616
171,1920,girl,1243892
172,1921,girl,1279456
173,1922,girl,1247341
174,1923,girl,1252275
175,1924,girl,1295622
176,1925,girl,1262857
177,1926,girl,1229733
178,1927,girl,1236165
179,1928,girl,1194984
180,1929,girl,1157278
181,1930,girl,1165950
182,1931,girl,1103151
183,1932,girl,1106050
184,1933,girl,1045557
185,1934,girl,1081968
186,1935,girl,1086433
187,1936,girl,1077225
188,1937,girl,1101533
189,1938,girl,1141160
190,1939,girl,1133824
191,1940,girl,1181157
192,1941,girl,1245632
193,1942,girl,1390363
194,1943,girl,1434984
195,1944,girl,1366427
196,1945,girl,1346112
197,1946,girl,1611983
198,1947,girl,1817550
199,1948,girl,1741506
200,1949,girl,1754263
201,1950,girl,1758485
202,1951,girl,1844600
203,1952,girl,1902182
204,1953,girl,1928156
205,1954,girl,1990505
206,1955,girl,2004102
207,1956,girl,2059171
208,1957,girl,2097173
209,1958,girl,2064606
210,1959,girl,2078225
211,1960,girl,2079835
212,1961,girl,2075398
213,1962,girl,2026692
214,1963,girl,1987601
215,1964,girl,1956668
216,1965,girl,1826999
217,1966,girl,1755193
218,1967,girl,1716357
219,1968,girl,1709233
220,1969,girl,1762281
221,1970,girl,1831350
222,1971,girl,1751652
223,1972,girl,1612271
224,1973,girl,1553651
225,1974,girl,1565761
226,1975,girl,1560169
227,1976,girl,1571404
228,1977,girl,1644197
229,1978,girl,1642946
230,1979,girl,1722356
231,1980,girl,1779205
232,1981,girl,1786947
233,1982,girl,1812618
234,1983,girl,1788111
235,1984,girl,1801542
236,1985,girl,1844650
237,1986,girl,1843724
238,1987,girl,1872933
239,1988,girl,1921055
240,1989,girl,1991601
241,1990,girl,2052954
242,1991,girl,2032363
243,1992,girl,2003455
244,1993,girl,1969927
245,1994,girl,1947847
246,1995,girl,1920114
247,1996,girl,1915857
248,1997,girl,1907748
249,1998,girl,1936796
250,1999,girl,1944885
251,2000,girl,1993329
252,2001,girl,1978213
253,2002,girl,1972065
254,2003,girl,2003252
255,2004,girl,2013908
256,2005,girl,2024636
257,2006,girl,2084511
258,2007,girl,2109099
259,2008,girl,2072756
260,2009,girl,2001968
